track;id;question;answer_a;answer_b;answer_c;answer_d;correct
1;1;Welk dier vraagt het jongetje niet om hulp?;Varken;Koe;Paard;Kat;d
1;2;Welke eigenschap van de man wordt genoemd?;Flapoor;Rode baard;Missende vinger;Witte haren;a
1;3;Wat zit er niet aan de machine?;Wijzers;Hendels;Knoppen;Wiel;d
1;4;Wat is het voor een machine?;Wolkenzoekmachine;Mensenzoekmachine;Wolkenmachine;Mensenmachine;c
2;1;Wat was er niet voorbereid voor Bianca's verjaardag?;Taarten;Limonade;Brood;Rode lopers;c
2;2;Welk cadeau kreeg Bianca niet?;Zijde;Witte rozen;Harp;Spiegel;b
2;3;Wat heeft Nero wel, wat Bianca niet heeft?;Roodste bloed;Fijn blond haar;Hoogste stem;Meeste goud;a
2;4;Waarom is Nero de gelukkiste prins ter wereld?;Hij is vrij om te gaan waar hij wil;Hij heeft een hart van goud;Hij zingt voor kinderen;Hij wist dat Biance met hem meeging;b
3;1;Wat omschrijft Maarten?;Oudste van het gezin;17 zussen;Lieveling;7 broers;b
3;2;Wat bracht Maarten op het geniale idee?;Zijn broers en zussen;Zijn woonsituatie;Chocolade koekjes;Een strip;c
3;3;Wat is Maarten's geniale idee?;De lekkerste gember koekjes;De lekkerste chocolade koekjes;Niet smeltende chocolade koejes;Niet kruimelende chocolade koekjes;d
3;4;Wat is Maarten's probleem, en hoe lost hij dit op?;Hij was ongelukkig, Vanille werd zijn vriendin;Hij was ongelukkig, teruggaan naar familie;Te veel geld, dus nam mensen in dienst;Te veel geld, gaf het aan een goed doel;a
4;1;Waarom was de koe niet weggegaan toen het touw kapot was?;Ze was te moe;Het was fijner met de man;Ze was te bang;Ze had zich bezeerd;b
4;2;Wanneer en wat verkocht de man op de markt?;Elke dinsdag 20 liter melk;Elke donderdag kruiden;Elke dinsdag zilverwerk;Elke donderdag kazen;d
4;3;Waarom ging de koe weg?;De man was ziek en stuurde haar op pad;De man was ziek dus ontsnapte ze;De koe was ziek en ging op zoek naar hulp;De man was ziek en gunde haar vrijheid ;a
4;4;Hoe eindigt het verhaal?;De koe ontsnapt;De man en Eline zijn getrouwd;De man laat de koe vrij;Eline gaat weg met de koe;b
5;1;Welk automerk is niet genoemd?;Mercedes;BMW;Volkswagen;Audi;d
5;2;Wat zijn geen details van de verlaten auto?;Witte Mercedes;Zwarte Passat;Lekke achterband;Kenteken uit Bulgarije;a
5;3;Wat was niet opvallend aan de verlaten wagen?;Eucalyptus geur;Stoffige buitenkant;Woestijnzand in de auto;Schone binnenkant;c
5;4;Wat gebeurde er met de man nadat hij in de auto ging zitten?;De man werd een auto;De man werd een 40 jarige vrouw;De man werd een spook;De man werd een bijen larve;d
6;1;Wat is er met de waarheid volgens het verhaal?;Waarheid is het begin van leugen voor een ander;Waarheid is fijn om te horen;Waarheid is goed om te vertellen;Waarheid eindigt in meer leugens;a
6;2;Wat hebben de jongens gedaan?;Ze speelden brandweer;Ze speelden met vuur;Ze speelden met boomstammen;Ze speelden in het bos;c
6;3;Wat had het jongetje geleerd?;Kattenkwaad gaat ongeschend;Het was niet erg, want de verzekering betaalde;Geloofwaardige leugens bouwen krediet;Je wordt een beter mens als je de waarheid spreekt;d
6;4;Wat deed de jongen later?;Hij vertelde alleen nog maar de waarheid;Hij vertelde zo veel mogelijk leugens;Hij mengde geloofwaardige leugens met waarheid;Hij vertelde ongeloofwaardige leugens;c
7;1;Welke wijn had de man gedronken?;Sauvignon;Bordaux;Port;Merlot;b
7;2;Wat was de juiste term voor de mannen?;Kardinalen;Monseigneur;Bisschoppen;Eminenties;d
7;3;Waar heeft de paus voor gekozen?;De man wordt zijn kardinaal en pectore;De man wordt nooit gedoopt;De man wordt de volgende paus;De man wordt bekeerd;a
7;4;Waarom heeft de paus de man gekozen?;Hij was zeer vroom;Hij komt uit een ongelovig land;Hij hunkert naar zuiverheid;Hij is opgegroeid in een klooster;c
8;1;Hoe heette de bistro?;Apollo;Bij Rika;De Ster;De Opkikker;b
8;2;Wat voor muziek speelt de groep?;Populaire radio muziek;Jazz muziek;Muziek van Excelsior;Harmonie orkest muziek;d
8;3;Waarom komen 12 en 13 jarigen naar het orkest?;Om te genieten van de muziek;Om te dansen;Voor een auditie;Om een instrument te leren;c
8;4;Welk instrument wil Martin As spelen? ;Trompet;Klarinet;Slagwerk;Walthoorn;a
